year,month,day,subCategory,state,sales,profit,date
2012,7,31,Accessories,New York,2309.65,762.1845,
2014,10,14,Binders,California,5083.96,1906.485,
2012,1,28,Tables,North Carolina,4297.644,-1862.3124,
2011,4,5,Supplies,Virginia,4164.05,83.281,
2014,11,3,Accessories,Kentucky,2249.91,517.4793,
2011,10,29,Phones,Illinois,2735.952,341.994,
2013,3,11,Phones,California,4158.912,363.9048,
2012,10,15,Chairs,Texas,2453.43,-350.49,
2011,12,12,Tables,California,3610.848,135.4068,
2011,9,14,Machines,New York,2799.96,1371.9804,
2014,11,5,Machines,North Carolina,7999.98,-3839.9904,
2011,9,23,Binders,Minnesota,9449.95,4630.4755,
2012,6,16,Binders,New York,3050.376,1143.891,
2014,7,25,Copiers,California,2399.96,839.986,
2012,3,19,Copiers,Washington,3149.93,1480.4671,
2014,8,24,Phones,Florida,4367.896,327.5922,
2012,11,8,Machines,New York,4643.8,2229.024,
2013,12,2,Appliances,Virginia,2104.55,694.5015,
2012,3,16,Binders,Georgia,6354.95,3177.475,
2014,1,17,Binders,Michigan,5443.96,2504.2216,
2014,8,18,Chairs,Pennsylvania,4416.174,-630.882,
2013,5,6,Tables,Nevada,1685.88,320.3172,
2014,11,7,Tables,Washington,2036.86,366.6348,
2013,4,17,Machines,New Jersey,9099.93,2365.9818,
2012,5,22,Machines,California,2973.32,334.4985,
2011,12,6,Storage,California,1261.33,327.9458,
2011,12,14,Machines,New York,6999.96,2239.9872,
2013,12,18,Binders,Michigan,9892.74,4946.37,
2011,12,20,Tables,Virginia,2244.48,493.7856,
2013,5,24,Copiers,Pennsylvania,8399.976,1119.9968,
2011,10,14,Chairs,Massachusetts,1628.82,260.6112,
2013,8,27,Chairs,California,1603.136,100.196,
2011,12,1,Chairs,Wisconsin,2807.84,673.8816,
2013,6,25,Machines,California,4476.8,503.64,
2014,9,12,Chairs,California,2054.272,256.784,
2012,7,13,Chairs,New York,1931.04,321.84,
2014,1,8,Machines,Michigan,3059.982,679.996,
2013,9,9,Bookcases,Texas,2396.2656,-317.1528,
2013,3,2,Machines,New York,4899.93,2400.9657,
2013,3,26,Accessories,Oklahoma,1287.45,244.6155,
2013,11,26,Machines,Ohio,4499.985,-6599.978,
2014,10,23,Phones,New York,2399.6,647.892,
2011,9,19,Machines,North Carolina,2624.985,-944.9946,
2014,4,1,Copiers,Georgia,2999.95,1439.976,
2013,10,22,Binders,Nevada,4535.976,1644.2913,
2013,12,26,Phones,California,2575.944,257.5944,
